33.259156,-117.237501,50.3329811096191,01A-L
33.282791,-117.218367,51.0807647705078,01B-BL
33.287028,-117.220816,54.9898529052734,01C-S
33.266518,-117.156965,94.3264923095703,01D-R
33.250478,-117.153396,141.02880859375,01E-L
33.255738,-117.068078,305.188262939453,01F-BR
33.222224,-117.036666,402.382781982422,01G-L
33.231325,-117.020446,422.353820800781,01H-BR
33.288445,-116.958689,312.612091064453,01I-R
33.199745,-116.710258,844.294555664063,02A-L
33.249343,-116.673949,869.399780273438,02B-R
33.219787,-116.604762,1021.79455566406,02C-L
33.256433,-116.399459,234.917495727539,02D-R
33.256553,-116.375731,182.007751464844,02E-BR
33.255952,-116.374959,181.359909057617,02F-R
33.21111,-116.330062,163.02751159668,02G-S
33.157346,-116.244486,234.147338867188,02H-L
33.125796,-115.855248,-53.2047729492188,02I-R
32.978472,-115.541846,-31.9846019744873,03A-S
32.974166,-115.408081,-27.2941360473633,03B-L
33.478425,-114.731126,72.6009979248047,03C-R
33.477833,-114.70869,72.6009979248047,03D-L
33.507053,-114.708766,74.143798828125,03E-R
33.507012,-114.656032,74.3552322387695,03F-L
33.610137,-114.657823,79.9349975585938,03G-R
33.605335,-114.535561,81.6211013793945,04A-S
33.605594,-114.537269,81.5615921020508,04B-R
33.662614,-114.020148,488.618377685547,04C-BR
33.942954,-113.143561,669.119567871094,05A-L
34.163275,-112.844282,924.769409179688,06A-L
34.369485,-112.665659,1250.83776855469,06B-L
34.417119,-112.710327,1197.49438476563,06C-R
34.562733,-112.487732,1652.22741699219,06D-BL
34.567924,-112.482362,1671.72387695313,07A-L
34.628906,-112.43943,1549.63220214844,07B-R
34.639737,-112.315912,1506.3681640625,07C-L
34.761688,-112.064275,1127.43615722656,07D-R
34.728595,-112.009444,1020.30609130859,07E-R
34.722281,-112.003984,1012.07342529297,08A-S
35.139811,-111.685807,2135.75634765625,08B-S
35.177231,-111.662981,2097.04345703125,08C-R
35.181742,-111.653066,2090.35424804688,08D-L
35.197309,-111.648289,2104.1943359375,08E-R
35.216514,-111.594223,2079.08032226563,08F-S
36.075962,-111.391918,1360.65380859375,09A-R
36.707645,-110.247204,1743.755859375,10A-L
37.151036,-109.867136,1241.494140625,11A-R
37.265578,-109.627367,1371.44372558594,12A-S
37.286563,-109.545058,1322.1298828125,12B-R
37.262535,-109.305656,1359.39807128906,12C-R
37.26187,-109.305887,1356.12268066406,12D-L
37.219234,-109.191872,1369.36083984375,13A-L
37.312321,-108.609604,1812.87182617188,13B-L
37.347181,-108.594257,1885.20776367188,13C-BR
37.26855,-107.885437,1976.70092773438,14A-L
37.270601,-107.884622,1980.34582519531,14B-R
37.268114,-107.872613,2004.55053710938,14C-R
37.263391,-107.874155,1993.47607421875,14D-BR
37.261335,-107.877582,1972.42553710938,14E-L
37.229701,-107.79588,2124.25268554688,15A-R
37.115123,-107.633315,1967.56921386719,15B-L
37.210299,-107.263298,2058.99926757813,15C-R
37.269487,-106.994783,2166.99047851563,16A-BR
36.905318,-106.791798,2282.85913085938,16B-S
36.882867,-106.584871,2372.48071289063,16C-L
37.069368,-106.014789,2408.13818359375,17A-R
36.645204,-105.967464,2475.11572265625,18A-L
36.457188,-105.595787,2184.85571289063,18B-R
36.41629,-105.569516,2127.69580078125,18C-R
36.409766,-105.574414,2122.96606445313,18D-L
36.409208,-105.572184,2126.14990234375,18E-L
36.45698,-105.595453,2184.39575195313,19A-S
36.704249,-105.59552,2277.12475585938,19B-R
36.704073,-105.399127,2644.02880859375,19C-BL
36.553413,-105.266626,2501.30981445313,20A-L
36.510057,-104.908934,1953.9169921875,20B-R
36.448919,-104.59743,1820.26000976563,20C-R
36.387314,-104.598103,1804.58666992188,21A-L
36.386807,-104.594049,1803.90295410156,21B-R
36.361098,-104.596101,1766.02331542969,21C-L
36.728964,-102.513129,1269.86328125,22A-R
36.72961,-102.512358,1270.09643554688,22B-R
36.725564,-102.482516,1260.62646484375,22C-BL
37.169799,-101.347986,947.88330078125,23A-S
37.170231,-100.922814,868.672424316406,23B-L
37.271674,-100.868782,871.880615234375,23C-R
37.271376,-100.589677,841.25,23D-R
37.25701,-100.589616,840.426879882813,24A-L
37.286139,-100.315515,758.930603027344,24B-BL
37.667858,-98.044095,479.373779296875,26A-BR
37.666516,-98.044841,478.724365234375,26B-R
37.719139,-98.045026,463.865142822266,26C-R
37.721648,-97.535377,420.826538085938,26D-L
37.779099,-97.536024,421.954467773438,26E-R
37.781424,-97.317421,418.98291015625,27A-L
37.795999,-97.317552,421.457092285156,27B-R
37.797943,-97.262609,425.148803710938,27C-R
37.795381,-97.262517,421.725280761719,27D-L
37.79956,-97.009799,381.543090820313,27E-R
37.796096,-97.00516,384.752380371094,27F-S
37.796617,-96.992342,399.679290771484,27G-R
37.796153,-96.898982,410.985229492188,27H-L
37.817345,-96.89869,407.625854492188,27I-R
37.855384,-94.713635,242.65299987793,29A-R
37.854853,-94.713688,242.554992675781,29B-L
37.841965,-94.707342,257.920715332031,30A-L
37.842064,-94.702466,241.581726074219,30B-S
37.836785,-94.341306,252.078582763672,30C-L
38.552403,-92.198758,241.885665893555,32A-BR
38.553341,-92.196673,248.071960449219,32B-L
38.554166,-92.198408,250.509536743164,32C-R
38.578064,-92.171386,182.362701416016,32D-L
38.578665,-92.17216,188.148742675781,32E-BR
38.579955,-92.173963,178.943649291992,33A-BR
38.584628,-92.180488,189.661834716797,33B-BR
38.598458,-92.168094,170.918319702148,33C-BR
38.724835,-91.704646,213.822662353516,33D-R
38.728943,-91.446266,158.450302124023,33E-R
