33.259156,-117.237501,01A-L
33.282791,-117.218367,01B-BL
33.287028,-117.220816,01C-S
33.266518,-117.156965,01D-R
33.250478,-117.153396,01E-L
33.255738,-117.068078,01F-BR
33.222224,-117.036666,01G-L
33.231325,-117.020446,01H-BR
33.288445,-116.958689,01I-R
33.199745,-116.710258,02A-L
33.249343,-116.673949,02B-R
33.219787,-116.604762,02C-L
33.256433,-116.399459,02D-R
33.256553,-116.375731,02E-BR
33.255952,-116.374959,02F-R
33.21111,-116.330062,02G-S
33.157346,-116.244486,02H-L
33.125796,-115.855248,02I-R
32.978472,-115.541846,03A-S
32.974166,-115.408081,03B-L
33.478425,-114.731126,03C-R
33.477833,-114.70869,03D-L
33.507053,-114.708766,03E-R
33.507012,-114.656032,03F-L
33.610137,-114.657823,03G-R
33.605335,-114.535561,04A-S
33.605594,-114.537269,04B-R
33.662614,-114.020148,04C-BR
33.942954,-113.143561,05A-L
34.163275,-112.844282,06A-L
34.369485,-112.665659,06B-L
34.417119,-112.710327,06C-R
34.562733,-112.487732,06D-BL
34.567924,-112.482362,07A-L
34.628906,-112.43943,07B-R
34.639737,-112.315912,07C-L
34.761688,-112.064275,07D-R
34.728595,-112.009444,07E-R
34.722281,-112.003984,08A-S
35.139811,-111.685807,08B-S
35.177231,-111.662981,08C-R
35.181742,-111.653066,08D-L
35.197309,-111.648289,08E-R
35.216514,-111.594223,08F-S
36.075962,-111.391918,09A-R
36.707645,-110.247204,10A-L
37.151036,-109.867136,11A-R
37.265578,-109.627367,12A-S
37.286563,-109.545058,12B-R
37.262535,-109.305656,12C-R
37.26187,-109.305887,12D-L
37.219234,-109.191872,13A-L
37.312321,-108.609604,13B-L
37.347181,-108.594257,13C-BR
37.26855,-107.885437,14A-L
37.270601,-107.884622,14B-R
37.268114,-107.872613,14C-R
37.263391,-107.874155,14D-BR
37.261335,-107.877582,14E-L
37.229701,-107.79588,15A-R
37.115123,-107.633315,15B-L
37.210299,-107.263298,15C-R
37.269487,-106.994783,16A-BR
36.905318,-106.791798,16B-S
36.882867,-106.584871,16C-L
37.069368,-106.014789,17A-R
36.645204,-105.967464,18A-L
36.457188,-105.595787,18B-R
36.41629,-105.569516,18C-R
36.409766,-105.574414,18D-L
36.409208,-105.572184,18E-L
36.45698,-105.595453,19A-S
36.704249,-105.59552,19B-R
36.704073,-105.399127,19C-BL
36.553413,-105.266626,20A-L
36.510057,-104.908934,20B-R
36.448919,-104.59743,20C-R
36.387314,-104.598103,21A-L
36.386807,-104.594049,21B-R
36.361098,-104.596101,21C-L
36.728964,-102.513129,22A-R
36.72961,-102.512358,22B-R
36.725564,-102.482516,22C-BL
37.169799,-101.347986,23A-S
37.170231,-100.922814,23B-L
37.271674,-100.868782,23C-R
37.271376,-100.589677,23D-R
37.25701,-100.589616,24A-L
37.286139,-100.315515,24B-BL
37.667858,-98.044095,26A-BR
37.666516,-98.044841,26B-R
37.719139,-98.045026,26C-R
37.721648,-97.535377,26D-L
37.779099,-97.536024,26E-R
